name,energy,protein,fat,saturates,carbohydrate,sugars,fibre,salt
Lidl_Deluxe_Tiramisu,1188kj,3.7g,14.4g,10.7g,34.5g,16.8g,0.7g,0.12g
tortilla_wrap2,1280kj/304kcal,,7.4g,3.0g,,,53.2g,8.6g
Tesco_tomato_basil_sauce,137kj/32kcal,1.5g,0.1g,0.1g,,5.7g,,
Chocolate_Hazelnut_sauce_dessert,1538kj/368kcal,5.0g,18.8g,2.0g,43.1g,21.1g,2.8g,0.49g
Lidl_chicken_pop_2,306kcal,15.0g,,3.2g,,1.9g,2.8g,0.75g
Aldi_CheddarCheese_Meal,669kj/160kcal,4.8g,7.6g,3.8g,17.2g,1.4g,1.9g,0.44g
irish_chicken2,910kj 1138kj 218kcal 273kcal,26.3g,12.5g,3.4g,0.0g,0.0g,0.0g,0.2g
fruit_juice8,61kj/14kcal,<0.5g,<0.5g,<0.1g,3.2g,3.0g,<0.5g,<0.01g
Lidl_Irish_Vintage_RedCheddar,1692kj,25.0g,34.0g,19.8g,0.5g,0.1g,,1.70g
Aldi_Mac&Cheese_pasta,449kj/106kcal,4.4g,1.7g,0.9g,18.0g,1.6g,0.7g,0.57g
Lidl_Alfredo_pizza_sub_2,868kj,7.5g,6.3g,1.8g,28.9g,2.2g,2.0g,1.00g
Aldi_Lemon_herbs_Basa,747kj/179kcal,20.9g,9.5g,1.6g,2.1g,0.9g,0.7g,0.53g
Aldi_Crunchy_poppadoms,1843kj,19.4g,,1.7g,41.2g,1.3g,9.2g,3.03g
WholeMeal_Pasta_MincedBeef,444kj/106kcal,9.6g,2.9g,1.1g,,2.3g,,0.40g
Lidl_Malt_Wheaties,1583kj/375kcal,2.9g,2.5g,0.2g,21.6g,3.1g,3.8g,0.14g
Aldi_Cooked_Noodles,670kj/158kcal,5.9g,1.0g,0.2g,30.4g,0.8g,2.0g,0.33g
butter9,1110kj/270kcal,,,6.2g,,,,1.4g
Aldi_chicken_flavoured_pasta,353kj,,,,,,,
nutrition_en.21.400,91kcal,,,1.5g,6.8g,4.9g,3.0g,
multiseed-sandwich-slims-connell-bakery,1185kj,,,,,,,
BBQ1,634kj/149kcal,,0.3g,0.1g,33.5g,30.2g,1.4g,1.19g
spice-infusion-cous-cous-bramwells,575kj,,,,24.3g,,,0.60g
easy-cook-basmati-rice-tesco,131kcal,2.9g,1.0g,0.2g,27.2g,0.1g,0.8g,<0.01g
Cheese_Onion_BreadCrumbs,731kj,6.2g,7.6g,4.3g,19.8g,1.8g,0.9g,0.37g
olive_oil1,900kcal,,,,,,,
BelVita_Canadian_MapleSyrup,,,,,,,,
Lidl_Milbona_profiteroles_dessert,321kcal,3.8g,8.2g,4.0g,57.3g,37.9g,1.4g,0.49g
protein-choc-pots-with-milk-chocolate,122kcal,,1.3g,,11.49,,,0.129
milk8,269kj,3.5g,,2.2g,4.7g,4.7g,0.0g,0.1g
chicken1,509kj,24.0g,2.4g,0.8g,0.8g,0.8g,<0.5g,0.9g
Lidl_chicken_strips,218kcal,14.0g,9.3g,1.5g,19.0g,4.2g,1.9g,1.10g
butter8,550kcal,0.2g,60.3g,23.6g,,0.2g,0.5g,1.0g
Lidl_TowerGate_Biscuit_TrippleChoco,115kj/27kcal,8.1g,23.4g,3.6g,62.4g,2.5g,2.7g,0.80g
tortilla_wrap1,1286kj,,,,,,,
Lidl_Diced_Chicken_Fillet_Veggies,107kcal,12.2g,1.5g,0.3g,10.2g,1.9g,,0.71g
Light_soft_cheese,,,,,,,,
muesli-original-flahavan-s,359kcal,,5.2g,,,,5.3g,<0.01g
Lidl_Weetabix,1531kj 574kj 362kcal 136kcal,,2.0g,0.6g,,4.2g,,0.28g
Cheese_slice,1081kj/256kcal,,3.6g,,42.39,,,1.1g
irish_chicken1,804kj 193kcal,20.3g,12.4g,3.5g,0.0g,0.0g,0.0g,
apricot-wheats-nestle,347kcal,,1.4g,,71.3g,16.5g,8.3g,0.15g
Lidl_Ready_to_eat_Pasta,255kcal,9.8g,7.3g,1.3g,36.8g,4.9g,1.5g,0.94g
Tesco_Potato_fingers,,2.0g,9.1g,1.5g,26.5g,0.5g,2.0g,0.8g
Lidl_4Beef_burger_cheddar_cheese,983kj,16.2g,17.9g,7.9g,2.4g,0.8g,0.5g,0.77g
corn-flakes-harvest-morn,1607kj/379kcal,7.2g,1.6g,0.2g,,6.3g,3.4g,0.56g
cheese14,1240kj 310kj 299kcal 75kcal,20.7g,24.0g,15.8g,0.0g,0.0g,0.0g,3.3g
Lidl_golden_bake_Ham&Cheese_2,1136kj/273kcal,7.6g,17.6g,8.8g,,1.7g,,1.04g
Tesco_cream_crackers_2,1865kj 149kj 443kcal 35kcal,10.0g,13.7g,6.2g,68.6g,1.3g,2.9g,0.8g
cheese6,1249kj 375kj 302kcal 91kcal,7.3g,28.0g,19.0g,5.0g,2.7g,0.5g,1.2g
butterroll5,287kcal,,7.0g,3.2g,44.2g,9.6g,2.2g,4.8g
Lidl_Packed_Veg_Meal,910kj,13.5g,10.2g,1.0g,15.8g,0.6g,3.8g,1.18g
Lidl_Chocochip_Cookies,2198kj/526kcal,6.6g,29.2g,15.3g,57.8g,,2.9g,0.43g
shredded-chicken-breast-brannan-s,486kj/115kcal,,1.3g,0.5g,0.79,,,0.669
ice_cream5,,,,,,,,
Lidl_Neo_biscuit_Original,2030kj,5.0g,22.0g,14.0g,65.0g,37.0g,3.2g,0.80g
Lidl_chicken_steak,837kj,13.0g,11.0g,2.4g,12.0g,0.5g,0.6g,0.71g
Cooked_Pulao_rice,620kj,7.1g,,3.8g,14.3g,2.0g,1.3g,0.31g
instant-oats-kavanaghs,249kj,0.05g,,0.2g,17.99,,2.3g,
salad-sandwich-tesco,1681kj,12.6g,,1.0g,21.1g,1.1g,2.5g,0.76g
wheat-biscuits,1538kj 611kj 364kcal 145kcal,,2.3g,0.5g,,3.0g,9.5g,0.23g
muselli1,,,5.8g,,,,8.3g,<0.01g
Lidl_Fajita_SeasoningMix_1,650kj/154kcal,26.4g,3.4g,0.5g,3.8g,2.1g,1.4g,0.79g
Lidl_Crownfield_MuseliBar_ChocolateBanana,1879kj,6.6g,16.8g,7.3g,65.5g,31.4g,4.0g,0.29g
stir-in-pasta-sauce-dolmio,100kcal,2.3g,6.1g,0.4g,8.2g,5.5g,1.7g,1.4g
Lidl_FreshEgg_Fusilli_Pasta,286kcal,9.8g,3.2g,1.0g,52.8g,1.6g,3.6g,0.10g
irish-chicken-breast-fillet-dunnes-stores,459kj 108kcal,,1.4g,0.4g,<0.5g,<0.5g,<0.5g,0.10g
mixed-beans-freshona,281kj/67kcal,4.4g,0.9g,0.1g,7.4g,0.3g,5.9g,0.62g
Tesco_slowCoked_piriPiri_HalfChicken,292kcal,23.7g,18.9g,7.1g,6.4g,6.2g,0.8g,0.43g
Lidl_Rasin_Crisps,702kj/167kcal,3.0g,5.0g,1.0g,26.3g,10.5g,2.3g,0.01g
sea-bass-fillets-skellig-bay,,,2.6g,0.7g,<0.5g,<0.5g,<0.5g,0.22g
egg-fried-rice-worldwide-foods,607kj,3.3g,2.3g,0.7g,,<0.5g,1.4g,0.45g
Aldi_Infusion_Soup,575kj/136kcal,0.60g,1.6g,0.2g,24.3g,2.7g,5.0g,
burrito-bowl-beef-nutriquick,426kj,9.5g,1.9g,0.8g,,1.1g,,0.13g
microwave-pilau-rice-tesco,151kcal,3.4g,2.3g,0.2g,28.0g,0.6g,2.2g,0.33g
spaghetti_aldi,1485kj/350kcal,,1.3g,0.3g,,2.5g,3.2g,0.0g
Lidl_Neo_Coated_chocolate_biscuit,2202kj,5.3g,28.0g,16.0g,62.0g,43.0g,2.7g,0.50g
ice_cream4,865kj 206kcal,,9.4g,7.0g,27.5g,20.9g,0.4g,0.10g
milk-kellogg-s,1729kj 414kcal,,,1.8g,,4.7g,,0.28g
cream-of-mushroom-soup,240kj/58kcal,0.8g,4.3g,0.3g,3.7g,0.5g,,0.7g
Lidl_Veg_Packed_Meal,194kcal,4.5g,8.4g,5.5g,22.8g,,4.1g,1.33g
pineapple-slices-sunny-south,60kcal,,0.1g,,14.7g,11.7g,0.7g,
butterroll4,269kcal,10.5g,,1.6g,43.3g,,,1.0g
potato-waffles-tesco,820kj 369kj 196kcal 88kcal,2.3g,,1.2g,23.0g,0.6g,3.0g,
cheese7,1700kj 510kj 410kcal 123kcal,23.7g,35.0g,23.0g,0.1g,0.1g,0.0g,2.0g
lasagne-topped-with-creamy-bechamel-sauce-quorn,458kj 10541kj 109kcal 251kcal,,3.8g,1.5g,13.1g,3.6g,2.5g,
pasta2,783kj 1330kj 185kcal 314kcal,,0.6g,0.1g,36.2g,,2.6g,<0.01g
Philadelphia_cheese,222kcal,,20.7g,12.2g,4.6g,3.5g,1.2g,3.8g
Mondelez_biscuit,,,,,,,9.3g,
spieced-kebab-pieces-plant,705kj,,,0.4g,2.29,1.8g,,1.53g
cheese15,1674kj 419kj 404kcal 101kcal,21.9g,33.7g,22.2g,2.9g,0.4g,0.6g,1.4g
Aldi_Irish_Mega_burgers,1137kj/274kcal,22.0g,20.6g,9.2g,0.1g,,,0.53g
cheese17,1725kj 517kj 416kcal 125kcal,25.4g,34.9g,21.7g,0.1g,0.1g,0.0g,1.8g
Frozen_Onion_Cheese_Chicken_Snack,300kcal,6.4g,16.9g,8.2g,29.8g,4.1g,1.8g,0.89g
BelVita_Oat&darkChocolate,,,,,,,7.0g,
cheese5,731kj 219kj 176kcal 53kcal,,14.0g,8.0g,3.0g,3.0g,0.0g,9.5g
Aldi_Coconut_Milk,332kj,,,,,,,
sweetcorn-and-red-pepper-kebabs,806kj,6.7g,10.0g,3.0g,15.69,,7.1g,1.23g
Sweet_BBQ_Pork,907kj 1342kj 216kcal 319kcal,26.3g,8.3g,3.2g,8.8g,7.9g,0.4g,0.36g
penne-100-drum-wholewheat-pasta-roma,337kcal,14.1g,2.5g,0.4g,60.2g,3.4g,8.4g,0.25g
Lidl_Lasagna_Sheets,1211kj/286kcal,9.8g,3.2g,1.0g,52.8g,1.6g,3.6g,0.10g
Aldi_MixVeg_haricotBeans_Basil_patty,616kj/148kcal,6.5g,7.6g,2.3g,10.8g,4.2g,5.1g,0.73g
ice_cream6,198kcal,2.7g,10.0g,7.0g,,18.5g,0.6g,0.03g
basmati-rice,353kcal,8.2g,0.5g,<0.1g,78.0g,<0.1g,1.6g,<0.01g
GlutenFree_Wholegrain_Oats,1907kj 109kj 455kcal 26kcal,12.1g,19.2g,6.9g,53.7g,1.6g,9.7g,1.53g
tomatoe-stir-in-tesco,191kj 149kj 45kcal 35kcal,1.6g,0.5g,0.1g,,6.2g,,0.68g
Tesco_Tuna_sweetcorn_sandwich,213kcal,9.7g,8.6g,1.2g,23.0g,1.0g,2.6g,0.85g
Tesco_SalmonMeal_3,632kj/149kcal,30.3g,2.3g,0.7g,1.9g,1.0g,,0.23g
Mexican_Beef_StirFry,1118kj 1040kj 268kcal 249kcal,23.1g,16.9g,5.9g,5.6g,4.6g,0.7g,0.68g
chicken-pasta-fit-foods,526kj/125kcal,9.3g,2.8g,1.4g,,1.6g,,0.54g
Tesco_Soy_cookies,,,,,,,,
yogurt1,75kcal,,,2.5g,,,,
Tesco_malted_wheat_prawn_sandwich,207kcal,9.9g,8.6g,0.8g,,1.7g,5.5g,1.45g
falafel-houmous-texaco,925kj 1683kj 220kcal 400kcal,6.1g,6.3g,1.4g,32.8g,4.3g,3.8g,0.6g
Tesco_SalmonMeal_2,468kj/111kcal,15.5g,3.1g,,4.7g,2.9g,,1.36g
Aldi_Irish_beef_burgers,1072kj/258kcal,19.9g,17.9g,8.4g,3.4g,1.2g,1.6g,0.73g
roast-chicken-brady-family,138kcal,27.9g,2.1g,0.7g,,<0.1g,,0.6g
chili-con-carne,405kj 1499kj 96kcal 355kcal,9.3g,1.8g,0.8g,,1.0g,,0.12g
Lidl_sweetcorn_kernel,77kcal,3.6g,1.9g,0.2g,8.9g,2.5g,5.1g,
Lidl_Curried_Cauliflower_Burger,94kcal,3.5g,2.3g,0.3g,11.6g,3.7g,6.6g,2.05g
Lidl_breaded_mozzarella_stick,242kcal,4.2g,10.3g,4.3g,32.2g,16.0g,1.7g,0.86g
ice_cream7,,,,,,,,
Aldi_frozen_Sausage,950kj/227kcal,1.03g,9.9g,2.2g,24.0g,1.2g,9.2g,
cheese4,1701kj/410kcal,24.9g,34.5g,21.6g,,0.1g,,1.80g
baby-jacket-potatoes-in-herb-marinade-inspired-cuisine,450kj/107kcal,2.0g,3.3g,0.6g,,2.2g,,0.33g
speghatti1,185kcal,,,0.1g,36.2g,1.1g,2.6g,0.6g
pasta1,748kj 1271kj 176kcal 300kcal,5.8g,0.7g,0.2g,35.7g,1.1g,2.2g,0.1g
cheese16,1725kj 517kj 416kcal 125kcal,25.4g,34.9g,21.7g,0.1g,0.1g,0.0g,1.8g
pasta5,694kj 1180kj 164kcal 278kcal,3.1g,0.3g,0.1g,36.2g,0.2g,1.7g,0.03g
Lidl_Diced_Chicek_Fillet_EggFried_Rice,487kj,,,,,,,
MeatFree_Mince,384kj,0.14g,,0.5g,0.1g,7.5g,,
cheese12,1725kj 416kcal,25.4g,34.9g,21.7g,0.1g,0.1g,0.0g,1.8g
butterroll3,1722kj 775kj 412kcal 185kcal,3.1g,21.7g,11.5g,46.0g,13.5g,2.6g,1.1g
Mondelez_biscuit_2,,,,,,,,
bran-flakes-dunnes-stores,1501kj,,2.4g,,,,,0.62g
Lidl_Crownfield_MuseliBar_WhippedMint,1688kj,8.0g,15.3g,2.4g,62.2g,1.1g,5.9g,0.27g
ice_cream3,,,,,,,,
whole-almonds-the-foodie-market,2461kj/595kcal,21.2g,49.9g,,9.1g,4.4g,12.5g,<0.01g
Tesco_protein_Meal,252kcal,7.3g,,6.5g,20.7g,3.0g,1.0g,0.3g
Aldi_cheesecake,962kj/229kcal,3.7g,7.7g,5.7g,33.5g,20.2g,1.2g,0.16g
Pepper_Mashed_Potatos,390kj 780kj 93kcal 185kcal,1.8g,2.3g,1.5g,15.6g,0.7g,1.1g,0.43g
Lidl_MultiGrain_Hoops,1048kj/248kcal,9.0g,3.3g,1.5g,43.4g,14.7g,4.0g,0.51g
Lidl_4_seasoned_Irish_beef_2,1152kj,15.3g,22.5g,10.3g,3.5g,0.7g,,0.75g
aldi_pasta,190kcal,,,,,,,
Lidl_TowerGate_Biscuit_MilkCoco,2063kj,8.1g,23.3g,3.6g,61.2g,2.7g,2.9g,1.00g
Tesco_Packed_burger,,13.9g,,5.0g,27.2g,4.0g,,1.2g
Tesco_JohnWest_Omega3_tuna,,,7.5g,,1.5g,,,1.0g
egg_L,595kj,0.38g,,2.7g,,,14.1g,
Cream_Crackers,1822kj 146kj 433kcal 35kcal,9.5g,,,,1.1g,3.1g,1.1g
Lidl_Double_Gloucester_Cheese,416kcal,22.3g,34.5g,24.3g,3.7g,0.2g,<0.5g,1.55g
Lidl_Chilli_SeasoningMix,476kj/114kcal,7.9g,5.4g,2.1g,7.3g,2.8g,2.2g,0.33g
Aldi_Fish_Meal,767kj,0.59g,0.6g,16.0g,0.6g,1.2g,12.8g,
sunflower_oil2,3700kj 900kcal,0.0g,100.0g,8.0g,0.0g,0.0g,0.0g,0.0g
Lidl_MultiGrain_shapes,1615kj,8.4g,3.2g,0.7g,75.7g,15.0g,7.7g,0.18g
Chicken_Tikka_Masala,453kj/108kcal,8.9g,2.8g,1.7g,,2.4g,2.0g,0.59g
soya-milk-glebe-farm,185kj,,,,,,,
boil-in-bag-wholegrain-rice-ben-s,707kj 167kcal,3.8g,1.0g,0.2g,,<0.5g,1.5g,<0.01g
ice_cream2,898kj 214kcal,,10.5g,7.5g,27.0g,23.9g,0.5g,0.1g
italian-pizza-lidl,272kcal,10.9g,10.1g,,33.0g,,2.8g,
Lidl_Crownfield_MuseliBar_Hazelnut,1769kj/424kcal,,19.0g,6.9g,45.0g,17.0g,21.0g,0.80g
cheese1,1674kj 502kj 404kcal 121kcal,21.9g,33.7g,22.2g,2.9g,0.4g,0.6g,1.42g
butterroll2,1569kj 502kj 374kcal 120kcal,2.7g,13.8g,4.8g,52.7g,18.3g,2.7g,0.25g
cheese13,1725kj 416kcal,,34.9g,21.7g,0.1g,0.1g,0.0g,
Lidl_Sundried_mix,1390kj/329kcal,8.7g,4.3g,2.2g,61.4g,16.1g,4.9g,9.12g
Tesco_fried_chicken_seasoned_thighpiece,,,,,,,,
pasta4,711kj 1209kj 168kcal 286kcal,3.8g,0.8g,0.2g,32.9g,,,5.4g
pasta6,1530kj 1147kj 361kcal 270kcal,6.8g,1.7g,0.6g,79.1g,0.4g,1.0g,0.06g
Lidl_pea_nugget,,,,,,6.1g,5.4g,
cheese11,1319kj 330kj 317kcal 79kcal,27.5g,23.0g,15.4g,0.0g,0.0g,0.0g,1.77g
caramelised-onion-houmous-lidl,257kcal,6.9g,18.6g,2.3g,13.2g,3.3g,4.8g,0.75g
Lidl_Cookie_biscuit_Dark,2047kj/489kcal,6.6g,25.0g,13.2g,58.0g,34.4g,3.0g,1.00g
cheese3,1485kj 445kj 357kcal 107kcal,16.8g,24.7g,16.2g,14.9g,11.1g,4.2g,1.33g
Tesco_SalmonMeal,738kj 176kcal,20.1g,8.9g,1.9g,4.0g,3.2g,,1.09g
Lidl_Cracker,1552kj,12.3g,6.3g,1.0g,57.4g,3.7g,16.8g,0.55g
Diced_ChickenBreast_Korma,465kj/111kcal,8.3g,2.6g,1.7g,,1.6g,,0.44g
Aldi_Peas_Onion_GoldenCrumbs,1086kj,0.91g,,1.4g,27.8g,4.3g,6.4g,
organic-italian-chopped-tomatoes-tesco,106kj 207kj 25kcal 49kcal,1.4g,0.2g,<0.1g,4.0g,4.0g,0.9g,0.1g
Tesco_Stonebaked_Spicy_MeatPizza,277kcal,13.8g,10.9g,5.2g,29.7g,3.2g,2.5g,1.24g
protein-strawberry-glenilen-farm,338kj/80kcal,9.6g,0.3g,0.1g,,9.2g,,0.11g
biscuit1,1946kj/463kcal,0.06g,15.4g,7.8g,72.1g,19.7g,7.6g,
Aldi_cooked_chicek_Meal,632kj/151kcal,10.1g,7.2g,3.9g,10.3g,3.6g,2.1g,0.61g
spinach-and-ricotta-tortelloni,,,,,,,,
Lidl_Sliced_Mature_RedCheddar,416kcal,25.4g,34.9g,21.7g,0.1g,0.1g,,1.81g
classic-houmous-dunnes-stores,978kj 236kcal,6.5g,,1.9g,9.1g,0.7g,5.4g,0.52g
CrunchyNut_Cereal,,,,,,,,
Lidl_Milbona_High_Protein,87kcal,10.0g,2.4g,1.6g,6.2g,4.9g,<0.5g,0.23g
Lidl_brocolli_cauliflower_carrot_peas_frozen,203kj,3.1g,0.9g,0.2g,5.3g,2.6g,3.3g,0.03g
Lidl_Vegan_Burger,236kcal,18.5g,14.5g,8.7g,6.2g,1.1g,3.5g,1.76g
Lidl_Vol-du-vent,280kcal,10.1g,13.1g,6.0g,29.4g,9.6g,1.9g,0.79g
vegan-stone-baked-falafel-goodfella-s,218kcal,6.4g,7.0g,0.71g,,4.4g,,1.0g
